model,ticker,horizon,mean_forecast,mean_ci90_lower,mean_ci90_upper,mean_ci90_width,mean_ci95_lower,mean_ci95_upper,mean_ci95_width
VARX,EIDPARRY.NS,6,0.04893,-0.09732,0.19517,0.29249,-0.12534,0.22319,0.34852
VARX,EIDPARRY.NS,12,0.05666,-0.09085,0.20418,0.29503,-0.11911,0.23244,0.35155
VARX,GREENLAM.NS,1,0.02017,-0.12312,0.16346,0.28658,-0.15057,0.19091,0.34148
VARX,GREENLAM.NS,3,0.02012,-0.12628,0.16653,0.29281,-0.15433,0.19458,0.3489
VARX,GREENLAM.NS,6,0.01793,-0.12758,0.16343,0.29102,-0.15546,0.19131,0.34677
VARX,GREENLAM.NS,12,0.00397,-0.13834,0.14628,0.28462,-0.1656,0.17355,0.33915
VARX,HDFCBANK.NS,1,-0.01802,-0.10002,0.06397,0.16399,-0.11573,0.07968,0.19541
VARX,HDFCBANK.NS,3,-0.01801,-0.10332,0.0673,0.17062,-0.11966,0.08364,0.2033
VARX,HDFCBANK.NS,6,-0.01994,-0.10567,0.06579,0.17147,-0.12209,0.08222,0.20431
VARX,HDFCBANK.NS,12,-0.01967,-0.1066,0.06727,0.17387,-0.12326,0.08392,0.20718
VARX,INDIGO.NS,1,0.00977,-0.11088,0.13043,0.24131,-0.134,0.15354,0.28754
VARX,INDIGO.NS,3,0.01549,-0.11214,0.14312,0.25526,-0.13659,0.16757,0.30416
VARX,INDIGO.NS,6,0.01622,-0.11137,0.14382,0.25519,-0.13582,0.16826,0.30408
VARX,INDIGO.NS,12,0.02018,-0.10886,0.14922,0.25808,-0.13358,0.17395,0.30753
VARX,JSWENERGY.NS,1,-0.002,-0.1476,0.14359,0.29119,-0.17549,0.17149,0.34697
VARX,JSWENERGY.NS,3,-0.00433,-0.15166,0.143,0.29467,-0.17989,0.17123,0.35112
VARX,JSWENERGY.NS,6,-0.00525,-0.15333,0.14283,0.29616,-0.1817,0.1712,0.3529
VARX,JSWENERGY.NS,12,-0.00222,-0.15144,0.147,0.29844,-0.18002,0.17559,0.35561
VARX,KPRMILL.NS,1,0.03736,-0.09366,0.16837,0.26204,-0.11876,0.19347,0.31223
VARX,KPRMILL.NS,3,0.02856,-0.10543,0.16256,0.26799,-0.1311,0.18823,0.31933
VARX,KPRMILL.NS,6,0.02716,-0.10704,0.16136,0.26839,-0.13275,0.18706,0.31981
VARX,KPRMILL.NS,12,0.0253,-0.11006,0.16066,0.27072,-0.13599,0.18659,0.32258
VARX,MARATHON.NS,1,-0.05331,-0.29129,0.18467,0.47595,-0.33688,0.23026,0.56713
VARX,MARATHON.NS,3,-0.05837,-0.30147,0.18473,0.4862,-0.34805,0.2313,0.57935
VARX,MARATHON.NS,6,-0.06329,-0.3085,0.18193,0.49043,-0.35548,0.2289,0.58438
VARX,MARATHON.NS,12,-0.09239,-0.34148,0.15669,0.49817,-0.3892,0.20441,0.59361
VARX,SUDARSCHEM.NS,1,0.01498,-0.10797,0.13793,0.2459,-0.13152,0.16149,0.29301
VARX,SUDARSCHEM.NS,3,0.01599,-0.11174,0.14372,0.25545,-0.13621,0.16819,0.30439
VARX,SUDARSCHEM.NS,6,0.01767,-0.1089,0.14425,0.25315,-0.13315,0.1685,0.30165
VARX,SUDARSCHEM.NS,12,0.01909,-0.10623,0.14441,0.25064,-0.13024,0.16842,0.29866
VARX,SURYAROSNI.NS,1,0.03497,-0.18264,0.25259,0.43523,-0.22433,0.29428,0.51861
VARX,SURYAROSNI.NS,3,0.03734,-0.18521,0.25989,0.4451,-0.22785,0.30252,0.53037
VARX,SURYAROSNI.NS,6,0.04639,-0.1766,0.26937,0.44597,-0.21931,0.31209,0.5314
VARX,SURYAROSNI.NS,12,0.06585,-0.15728,0.28897,0.44624,-0.20002,0.33171,0.53173
