model,ticker,horizon,order_p,order_q,n_test,AIC,BIC,RMSE,MAE,ME,MAPE,SMAPE,DA,group
VARX,SURYAROSNI.NS,6,1,,24,-23.32,-19.45,0.175128,0.145678,0.054734,168.434395,145.821654,0.458333,VARX_group_2
VARX,SURYAROSNI.NS,12,1,,18,-23.32,-19.45,0.170786,0.147625,0.070296,179.852235,144.977599,0.555556,VARX_group_2
VARX,KPRMILL.NS,1,1,,29,-23.32,-19.45,0.09837,0.074391,0.017352,322.701465,121.229887,0.655172,VARX_group_2
VARX,KPRMILL.NS,3,1,,27,-23.32,-19.45,0.122366,0.101344,0.010646,740.868292,148.431046,0.518519,VARX_group_2
VARX,KPRMILL.NS,6,1,,24,-23.32,-19.45,0.127774,0.100672,0.017579,711.481738,144.052766,0.416667,VARX_group_2
VARX,KPRMILL.NS,12,1,,18,-23.32,-19.45,0.126695,0.111963,0.01759,914.518507,155.638768,0.5,VARX_group_2
VARX,ABREL.NS,1,1,,29,-23.32,-19.45,0.119562,0.097787,0.036063,205.304182,133.238069,0.62069,VARX_group_2
VARX,ABREL.NS,3,1,,27,-23.32,-19.45,0.133073,0.106257,0.041125,197.772026,137.818838,0.555556,VARX_group_2
VARX,ABREL.NS,6,1,,24,-23.32,-19.45,0.150199,0.127935,0.056915,170.265457,164.486942,0.375,VARX_group_2
VARX,ABREL.NS,12,1,,18,-23.32,-19.45,0.158847,0.128309,0.067325,126.912334,138.373214,0.5,VARX_group_2
VARX,SUDARSCHEM.NS,1,1,,29,-23.32,-19.45,0.114028,0.090026,-0.001985,99.004161,127.258682,0.689655,VARX_group_2
VARX,SUDARSCHEM.NS,3,1,,27,-23.32,-19.45,0.09683,0.080528,-0.000238,91.674047,127.840955,0.703704,VARX_group_2
VARX,SUDARSCHEM.NS,6,1,,24,-23.32,-19.45,0.115653,0.090739,0.021247,87.87926,129.393626,0.583333,VARX_group_2
VARX,SUDARSCHEM.NS,12,1,,18,-23.32,-19.45,0.12201,0.101615,0.038194,106.76561,138.627202,0.555556,VARX_group_2
VARX,APOLLOHOSP.NS,1,1,,29,-22.76,-18.89,0.07837,0.05884,0.012853,169.38515,140.124394,0.37931,VARX_group_3
VARX,APOLLOHOSP.NS,3,1,,27,-22.76,-18.89,0.074957,0.061259,0.008813,165.592804,136.145261,0.518519,VARX_group_3
VARX,APOLLOHOSP.NS,6,1,,24,-22.76,-18.89,0.058939,0.048925,0.016309,125.681127,121.056997,0.708333,VARX_group_3
VARX,APOLLOHOSP.NS,12,1,,18,-22.76,-18.89,0.072474,0.056464,0.028944,149.993132,132.731513,0.444444,VARX_group_3
VARX,BSE.NS,1,1,,29,-22.76,-18.89,0.159158,0.137703,0.099968,525.577118,117.629449,0.655172,VARX_group_3
VARX,BSE.NS,3,1,,27,-22.76,-18.89,0.210875,0.173608,0.095567,444.411459,139.28894,0.481481,VARX_group_3
VARX,BSE.NS,6,1,,24,-22.76,-18.89,0.185105,0.130095,0.100151,312.381644,108.486838,0.625,VARX_group_3
VARX,BSE.NS,12,1,,18,-22.76,-18.89,0.234962,0.195253,0.138757,635.592155,142.536174,0.444444,VARX_group_3
VARX,ASTERDM.NS,1,1,,29,-22.76,-18.89,0.114245,0.096041,-0.020285,385.781793,152.955424,0.482759,VARX_group_3
VARX,ASTERDM.NS,3,1,,27,-22.76,-18.89,0.100245,0.082388,-0.021147,322.572581,139.980042,0.555556,VARX_group_3
VARX,ASTERDM.NS,6,1,,24,-22.76,-18.89,0.102408,0.08239,-0.022964,469.448401,136.948488,0.625,VARX_group_3
VARX,ASTERDM.NS,12,1,,18,-22.76,-18.89,0.100593,0.075541,-0.006586,147.979814,120.741194,0.611111,VARX_group_3
VARX,AEGISLOG.NS,1,1,,29,-22.76,-18.89,0.13626,0.117469,0.023637,224.217249,147.142218,0.517241,VARX_group_3
VARX,AEGISLOG.NS,3,1,,27,-22.76,-18.89,0.162951,0.132907,0.033795,277.738677,152.293968,0.444444,VARX_group_3
VARX,AEGISLOG.NS,6,1,,24,-22.76,-18.89,0.169303,0.131438,0.065337,229.03232,150.383406,0.375,VARX_group_3
VARX,AEGISLOG.NS,12,1,,18,-22.76,-18.89,0.166012,0.142082,0.067401,297.618059,169.785271,0.388889,VARX_group_3
VARX,CAMLINFINE.NS,1,1,,29,-22.76,-18.89,0.181961,0.149317,0.061081,306.923212,138.647587,0.586207,VARX_group_3
VARX,CAMLINFINE.NS,3,1,,27,-22.76,-18.89,0.182449,0.145191,0.048575,492.331311,152.122285,0.333333,VARX_group_3
VARX,CAMLINFINE.NS,6,1,,24,-22.76,-18.89,0.230449,0.180534,0.050901,454.708899,164.228255,0.416667,VARX_group_3
VARX,CAMLINFINE.NS,12,1,,18,-22.76,-18.89,0.222342,0.143495,0.064478,251.077492,134.982769,0.722222,VARX_group_3
VARX,JSWENERGY.NS,1,1,,29,-9.43,-8.3,0.070015,0.057389,0.007563,145.496762,129.525805,0.586207,VARX_group_4
VARX,JSWENERGY.NS,3,1,,27,-9.43,-8.3,0.125076,0.103178,0.012966,225.765045,163.389003,0.407407,VARX_group_4
VARX,JSWENERGY.NS,6,1,,24,-9.43,-8.3,0.118441,0.092117,0.022681,176.288839,163.123547,0.333333,VARX_group_4
VARX,JSWENERGY.NS,12,1,,18,-9.43,-8.3,0.127183,0.102355,0.023922,212.29507,162.246494,0.333333,VARX_group_4
VARX,GREENLAM.NS,1,1,,29,-9.43,-8.3,0.118185,0.100977,0.036075,544.599211,153.055178,0.551724,VARX_group_4
VARX,GREENLAM.NS,3,1,,27,-9.43,-8.3,0.122168,0.10287,0.033411,542.703074,159.314939,0.407407,VARX_group_4
VARX,GREENLAM.NS,6,1,,24,-9.43,-8.3,0.127562,0.111541,0.0397,380.847904,170.385723,0.458333,VARX_group_4
VARX,GREENLAM.NS,12,1,,18,-9.43,-8.3,0.152605,0.116201,0.039468,919.670489,158.79831,0.388889,VARX_group_4
VARX,EIDPARRY.NS,1,1,,29,-10.2,-9.07,0.090184,0.070076,-0.00034,145.655973,105.331008,0.827586,VARX_group_5
VARX,EIDPARRY.NS,3,1,,27,-10.2,-9.07,0.118164,0.0996,-0.000957,207.597244,132.875681,0.62963,VARX_group_5
VARX,EIDPARRY.NS,6,1,,24,-10.2,-9.07,0.127936,0.105708,0.02614,167.466252,148.098715,0.5,VARX_group_5
VARX,EIDPARRY.NS,12,1,,18,-10.2,-9.07,0.109491,0.093752,0.0422,116.14282,136.398078,0.555556,VARX_group_5
VARX,BANDHANBNK.NS,1,1,,29,-10.2,-9.07,0.076897,0.047971,-0.005999,1017592523.641413,82.830795,0.827586,VARX_group_5
VARX,BANDHANBNK.NS,3,1,,27,-10.2,-9.07,0.120363,0.091236,-0.015413,47006512.128737,142.66064,0.407407,VARX_group_5
VARX,BANDHANBNK.NS,6,1,,24,-10.2,-9.07,0.140217,0.11194,-0.017131,391.685592,164.204558,0.458333,VARX_group_5
VARX,BANDHANBNK.NS,12,1,,18,-10.2,-9.07,0.157001,0.102996,-0.031913,393.623961,114.399549,0.666667,VARX_group_5
